tag,n_reviews,n_toxic,toxicity_rate,toxicity_pct
Snow,45765,666,0.01455260570304818,1.455260570304818
Software Training,39072,568,0.014537264537264538,1.4537264537264538
Multiple Endings,2267160,32923,0.014521692337550062,1.4521692337550063
Top-Down,1348648,19562,0.014504896755862168,1.4504896755862169
Electronic,6626,96,0.01448837911258678,1.448837911258678
Skiing,22103,320,0.014477672714111206,1.4477672714111207
Platformer,2859796,41379,0.014469213887983619,1.4469213887983619
Audio Production,53396,771,0.014439283841486253,1.4439283841486252
Cyberpunk,767052,11066,0.01442666207766879,1.442666207766879
Mouse only,170308,2450,0.0143857012001785,1.43857012001785
Snooker,2714,39,0.014369933677229182,1.4369933677229183
Solitaire,63232,908,0.014359817813765182,1.4359817813765183
Submarine,55310,794,0.014355451093834749,1.4355451093834748
Foreign,42672,612,0.014341957255343082,1.4341957255343083
Grand Strategy,1488336,21322,0.01432606615710431,1.4326066157104311
Software,249931,3579,0.014319952306836687,1.4319952306836687
Nonlinear,301282,4289,0.014235832210354418,1.4235832210354418
Psychological,794171,11291,0.014217341101601545,1.4217341101601544
Dark Fantasy,2348971,33285,0.014170034453384056,1.4170034453384055
Gothic,307491,4356,0.014166268281022859,1.4166268281022858
Bikes,48426,685,0.014145293850410936,1.4145293850410936
JRPG,1189149,16806,0.014132795806076447,1.4132795806076448
RPGMaker,266082,3757,0.014119707458602988,1.4119707458602988
Female Protagonist,3539554,49779,0.014063636266038038,1.4063636266038038
Card Game,768337,10795,0.014049824491076182,1.4049824491076182
Dwarf,346477,4862,0.014032677493744173,1.4032677493744172
Hunting,329328,4617,0.014019457804984696,1.4019457804984696
Conspiracy,144303,2021,0.014005252836046374,1.4005252836046373
Real-Time with Pause,857918,12006,0.013994344447837672,1.3994344447837672
Offroad,85657,1194,0.013939316109599916,1.3939316109599915
God Game,146993,2046,0.013919030157898676,1.3919030157898675
Narration,606433,8422,0.013887766661774673,1.3887766661774672
Well-Written,59433,823,0.013847525785338112,1.384752578533811
Stylized,1255146,17317,0.013796801328291688,1.3796801328291688
Episodic,179833,2474,0.013757208076381977,1.3757208076381977
Supernatural,430071,5915,0.013753543019640943,1.3753543019640944
Choices Matter,2824574,38785,0.013731274167361167,1.3731274167361167
Tower Defense,564640,7751,0.013727330688580335,1.3727330688580335
Baseball,8103,111,0.0136986301369863,1.36986301369863
Idler,401113,5480,0.01366198552527592,1.366198552527592
Game Development,145286,1984,0.0136558236856958,1.36558236856958
Roguelike,2005882,27338,0.013628917354061704,1.3628917354061705
Real Time Tactics,802805,10929,0.013613517603901322,1.3613517603901322
Rock Music,11610,158,0.013608957795004307,1.3608957795004306
3D Platformer,784060,10653,0.013586970384919522,1.3586970384919521
Steampunk,520414,7013,0.013475809643860465,1.3475809643860466
