src,label,arm,model,eval,prev,aucpr,aucpr_sd,roc,roc_sd,f1m,f1m_sd,f1p,f1p_sd,precp,precp_sd,recp,recp_sd
MiniLM,count,content_agnostic,lgbm,BALANC,0.5,0.6273,0.0019,0.6364,0.0012,0.5966,0.0006,0.582,0.0031,0.6048,0.002,0.5609,0.0074
MiniLM,count,content_agnostic,linsvc,REAL,0.04,0.0631,0.0009,0.6114,0.0026,0.5281,0.0014,0.1021,0.0076,0.0871,0.001,0.1252,0.0236
MiniLM,count,content_agnostic,linsvc,BALANC,0.5,0.6055,0.0016,0.611,0.0015,0.5783,0.0012,0.5676,0.0032,0.5828,0.0017,0.5532,0.0067
MiniLM,count,content_agnostic,logreg,REAL,0.04,0.0626,0.0008,0.6087,0.0024,0.5275,0.0014,0.1006,0.0106,0.088,0.0039,0.1232,0.0362
MiniLM,count,content_agnostic,logreg,BALANC,0.5,0.6034,0.0015,0.6081,0.0015,0.576,0.001,0.5541,0.0065,0.5863,0.0036,0.5255,0.0151
MiniLM,count,content_agnostic,mlp,REAL,0.04,0.0574,0.001,0.5827,0.0026,0.524,0.0013,0.0923,0.0049,0.0814,0.0032,0.1078,0.0141
MiniLM,count,content_agnostic,mlp,BALANC,0.5,0.5835,0.0015,0.5815,0.0013,0.5592,0.0011,0.5448,0.0068,0.564,0.002,0.527,0.0146
MiniLM,count,content_agnostic,svc,REAL,0.04,0.0457,0.0021,0.4869,0.0088,0.5206,0.0015,0.0783,0.0059,0.0817,0.0027,0.0763,0.013
MiniLM,count,content_agnostic,svc,BALANC,0.5,0.5228,0.0018,0.4864,0.002,0.4975,0.0014,0.4508,0.0038,0.5023,0.0019,0.4089,0.0065
MiniLM,count,content_agnostic,xgb,REAL,0.04,0.0672,0.0008,0.629,0.0029,0.5316,0.0009,0.1078,0.0024,0.0929,0.0017,0.1288,0.0066
MiniLM,count,content_agnostic,xgb,BALANC,0.5,0.6188,0.0014,0.6286,0.0013,0.5913,0.0008,0.5732,0.0019,0.6011,0.0014,0.5479,0.0041
MiniLM,count,content,histgb,REAL,0.04,0.4458,0.0049,0.9282,0.0017,0.7129,0.0017,0.4501,0.0035,0.4273,0.0095,0.4759,0.0151
MiniLM,count,content,histgb,BALANC,0.5,0.9202,0.0017,0.9279,0.0013,0.85,0.0016,0.8529,0.0026,0.8371,0.0043,0.8694,0.0094
MiniLM,count,content_leavetoxicout,histgb,REAL,0.04,0.4435,0.0072,0.8294,0.005,0.7039,0.0036,0.427,0.0064,0.5617,0.0572,0.3471,0.0194
MiniLM,count,content_leavetoxicout,histgb,BALANC,0.5,0.8557,0.0011,0.8289,0.0012,0.7543,0.0017,0.7375,0.0029,0.7963,0.0086,0.6869,0.0104
MiniLM,count,content_leavetoxicout,lgbm,REAL,0.04,0.4425,0.0073,0.8292,0.0038,0.7036,0.0027,0.4262,0.0053,0.5788,0.0841,0.3415,0.0236
MiniLM,count,content_leavetoxicout,lgbm,BALANC,0.5,0.8553,0.0012,0.8287,0.0012,0.7528,0.0016,0.7367,0.0029,0.7921,0.0098,0.6887,0.0117
MiniLM,count,content_leavetoxicout,linsvc,REAL,0.04,0.0583,0.0004,0.652,0.0036,0.5052,0.0006,0.0663,0.0088,0.0517,0.0026,0.0952,0.026
MiniLM,count,content_leavetoxicout,linsvc,BALANC,0.5,0.5876,0.0013,0.6513,0.0015,0.6698,0.0017,0.7137,0.001,0.6388,0.0016,0.8083,0.0
MiniLM,count,content_leavetoxicout,logreg,REAL,0.04,0.057,0.0004,0.6448,0.0034,0.5045,0.0009,0.059,0.0107,0.0495,0.0034,0.0764,0.0314
MiniLM,count,content_leavetoxicout,logreg,BALANC,0.5,0.5822,0.0013,0.6441,0.0012,0.6622,0.0013,0.7123,0.0007,0.6308,0.0011,0.818,0.0
MiniLM,count,content_leavetoxicout,mlp,REAL,0.04,0.3661,0.0112,0.7825,0.0073,0.675,0.0042,0.3681,0.0078,0.6692,0.1172,0.2568,0.0151
MiniLM,count,content_leavetoxicout,mlp,BALANC,0.5,0.8148,0.0014,0.782,0.0015,0.713,0.0018,0.696,0.0053,0.743,0.0087,0.6549,0.015
MiniLM,count,content_leavetoxicout,svc,REAL,0.04,0.3065,0.0159,0.7395,0.0064,0.671,0.0064,0.3586,0.0125,0.8704,0.0391,0.2259,0.0094
MiniLM,count,content_leavetoxicout,svc,BALANC,0.5,0.778,0.0008,0.7396,0.0009,0.6838,0.0009,0.6527,0.0007,0.7327,0.0027,0.5885,0.0018
MiniLM,count,content_leavetoxicout,xgb,REAL,0.04,0.439,0.0075,0.8168,0.005,0.7047,0.0031,0.4286,0.006,0.5645,0.0542,0.3481,0.0219
MiniLM,count,content_leavetoxicout,xgb,BALANC,0.5,0.8482,0.0011,0.8164,0.0012,0.7461,0.0014,0.7278,0.0015,0.7892,0.0046,0.6754,0.0043
MiniLM,count,content,lgbm,REAL,0.04,0.4462,0.0053,0.9287,0.0017,0.7134,0.002,0.4516,0.0036,0.4219,0.0232,0.4889,0.0334
MiniLM,count,content,lgbm,BALANC,0.5,0.921,0.0015,0.9286,0.0012,0.8529,0.0016,0.8572,0.0013,0.8338,0.0031,0.8818,0.0026
MiniLM,count,content,linsvc,REAL,0.04,0.2869,0.005,0.8587,0.0016,0.6376,0.0023,0.3039,0.0046,0.3088,0.01,0.2996,0.0123
MiniLM,count,content,linsvc,BALANC,0.5,0.8486,0.0015,0.8585,0.0012,0.7772,0.0015,0.7863,0.0018,0.7567,0.0033,0.8183,0.0064
MiniLM,count,content,logreg,REAL,0.04,0.2829,0.0052,0.862,0.0018,0.6327,0.0028,0.2948,0.0042,0.3,0.0265,0.2942,0.033
MiniLM,count,content,logreg,BALANC,0.5,0.8483,0.0017,0.8616,0.0012,0.78,0.0014,0.7902,0.003,0.7569,0.0044,0.8267,0.0112
MiniLM,count,content,mlp,REAL,0.04,0.431,0.0065,0.915,0.003,0.7107,0.0025,0.4458,0.0042,0.4234,0.0127,0.4711,0.0073
MiniLM,count,content,mlp,BALANC,0.5,0.9115,0.0011,0.9143,0.0009,0.8383,0.0013,0.839,0.0015,0.8354,0.0074,0.8427,0.0097
MiniLM,count,content,svc,REAL,0.04,0.4522,0.0037,0.8984,0.0026,0.7157,0.0015,0.4535,0.0022,0.469,0.0203,0.44,0.0148
MiniLM,count,content,svc,BALANC,0.5,0.9038,0.0011,0.898,0.0009,0.8205,0.0012,0.8146,0.002,0.8433,0.0068,0.7879,0.0087
MiniLM,count,content,xgb,REAL,0.04,0.4765,0.0078,0.9324,0.0025,0.7233,0.0028,0.4703,0.0053,0.4412,0.0078,0.5036,0.0073
MiniLM,count,content,xgb,BALANC,0.5,0.9263,0.0016,0.9321,0.0012,0.856,0.0014,0.8592,0.0013,0.8409,0.0046,0.8784,0.0056
MiniLM,rate,combined,histgb,REAL,0.1278,0.4258,0.0133,0.8093,0.0036,0.6753,0.0018,0.4414,0.0094,0.4094,0.0231,0.4839,0.0475
MiniLM,rate,combined,histgb,BALANC,0.5,0.801,0.0027,0.8086,0.0029,0.7338,0.0027,0.7361,0.0053,0.7304,0.0099,0.7424,0.0201
MiniLM,rate,combined,lgbm,REAL,0.1278,0.4298,0.0152,0.8122,0.0046,0.6765,0.0043,0.441,0.0053,0.4169,0.0166,0.4691,0.0156
MiniLM,rate,combined,lgbm,BALANC,0.5,0.8036,0.0034,0.8116,0.0031,0.7343,0.0024,0.7354,0.005,0.733,0.0112,0.7384,0.02
MiniLM,rate,combined,linsvc,REAL,0.1278,0.463,0.0155,0.8304,0.0058,0.6951,0.0039,0.4734,0.0079,0.4463,0.0172,0.5056,0.0291
MiniLM,rate,combined,linsvc,BALANC,0.5,0.8219,0.0035,0.8297,0.0024,0.7511,0.0023,0.7464,0.0022,0.7611,0.0045,0.7323,0.0048
MiniLM,rate,combined,logreg,REAL,0.1278,0.4614,0.0155,0.8304,0.0059,0.6941,0.005,0.4714,0.0113,0.4463,0.0176,0.5019,0.0365
MiniLM,rate,combined,logreg,BALANC,0.5,0.8215,0.0036,0.8297,0.0024,0.7509,0.0023,0.7467,0.0024,0.7598,0.0046,0.7341,0.006
MiniLM,rate,combined,mlp,REAL,0.1278,0.3997,0.014,0.7806,0.0076,0.6618,0.0035,0.416,0.0048,0.393,0.0181,0.4443,0.0304
MiniLM,rate,combined,mlp,BALANC,0.5,0.7806,0.0023,0.7804,0.0023,0.708,0.0023,0.709,0.0055,0.7069,0.0082,0.7115,0.0183
MiniLM,rate,combined,svc,REAL,0.1278,0.484,0.0131,0.8107,0.0058,0.706,0.0045,0.489,0.0066,0.4792,0.0241,0.5012,0.0249
MiniLM,rate,combined,svc,BALANC,0.5,0.8221,0.0021,0.8105,0.0019,0.7461,0.0023,0.7362,0.0029,0.7674,0.0083,0.7077,0.0105
