auc_pr,auc_roc,f1_macro,precision_pos,recall_pos,f1_pos,kappa,accuracy,baseline_ap,threshold,label,arm,model,fold,n_test
0.062478272989488964,0.6092894610229191,0.5261363729364587,0.08382543569062365,0.11714975845410629,0.09772479220888254,0.05358353989499376,0.9134555762246435,0.04000057981191546,0.0694,count,content_agnostic,logreg,0,124179
0.062420895265888565,0.607899035852023,0.5294987544084689,0.09092351634401777,0.11536138514193678,0.1016949152542373,0.059624802013687805,0.918479923980093,0.04000057981191546,0.07089,count,content_agnostic,logreg,1,124178
0.06182812326177896,0.6050509137711991,0.5252574858199859,0.08105432495978221,0.1318703442721965,0.10039852851011649,0.05350431097019237,0.9054743996521123,0.04000057981191546,0.06691,count,content_agnostic,logreg,2,124178
0.06259051078648935,0.6097912976194426,0.5275801888868615,0.08782051282051281,0.11032816589490638,0.0977960203444276,0.05573613514666853,0.918576559454976,0.04000057981191546,0.07108,count,content_agnostic,logreg,3,124178
0.06388987411452801,0.611513365298656,0.5287218203626979,0.0862894316926476,0.14153412522649486,0.10721366478572518,0.060523211942543176,0.9057159883393193,0.04000057981191546,0.06635,count,content_agnostic,logreg,4,124178
0.06266961839550163,0.611448692862225,0.5266355900530407,0.08309876392118468,0.13667471819645732,0.10335641981885989,0.0564034955283258,0.9051288865267074,0.04000057981191546,-0.86713,count,content_agnostic,linsvc,0,124179
0.06275615269628404,0.6120946983006786,0.5301680374416942,0.08840315725561627,0.14656734447352526,0.1102863202545069,0.06355753749359583,0.9054099760021904,0.04000057981191546,-0.8674,count,content_agnostic,linsvc,1,124178
0.06254141532608642,0.6075869594547102,0.5286622236723262,0.0882137090855717,0.12099859069861083,0.10203735144312394,0.05847572199347628,0.9148158288907858,0.04000057981191546,-0.86197,count,content_agnostic,linsvc,2,124178
0.06270350000471682,0.611213486576394,0.5264738282236703,0.082862754726246,0.13589691966982081,0.1029512697323267,0.056040199719049166,0.9052730757461064,0.04000057981191546,-0.86686,count,content_agnostic,linsvc,3,124178
0.06461489258641986,0.6147519970650865,0.5292591001081138,0.08895306859205776,0.12401852224682908,0.10359905819038008,0.05980001619765929,0.9141554864790865,0.04000057981191546,-0.86295,count,content_agnostic,linsvc,4,124178
0.06927203651438098,0.6351529531643719,0.5342766099316107,0.10540970564836913,0.10668276972624799,0.10604241696678672,0.06855462719541383,0.9280393625331175,0.04000057981191546,0.0834,count,content_agnostic,histgb,0,124179
