label,arm,model,auc_pr_mean,auc_pr_sd,auc_roc_mean,auc_roc_sd,f1_macro_mean,f1_macro_sd,kappa_mean,recall_pos_mean,precision_pos_mean,baseline_ap
rate,content,logreg,0.4596,0.0153,0.8299,0.0058,0.6899,0.0059,0.3802,0.4897,0.4413,0.1278
rate,content,mlp,0.4004,0.0113,0.786,0.0079,0.6485,0.0219,0.3029,0.4037,0.4288,0.1278
rate,content,svc,0.4817,0.0171,0.8087,0.0067,0.6928,0.0045,0.3892,0.5805,0.4114,0.1278
rate,content,xgb,0.413,0.0155,0.8006,0.0052,0.6602,0.0075,0.323,0.3369,0.4778,0.1278
rate,content_agnostic,histgb,0.1596,0.0043,0.577,0.0073,0.5285,0.0048,0.0576,0.1626,0.1815,0.1278
rate,content_agnostic,lgbm,0.1565,0.0039,0.5711,0.0077,0.5205,0.0065,0.0447,0.1237,0.176,0.1278
rate,content_agnostic,linsvc,0.1548,0.0039,0.5609,0.0052,0.5271,0.0045,0.0551,0.1979,0.1724,0.1278
rate,content_agnostic,logreg,0.1547,0.0036,0.561,0.0049,0.5277,0.0038,0.0565,0.2008,0.1734,0.1278
rate,content_agnostic,mlp,0.1502,0.0038,0.5511,0.0078,0.5237,0.0035,0.0478,0.1669,0.1701,0.1278
rate,content_agnostic,svc,0.1349,0.0063,0.5033,0.0174,0.5122,0.0062,0.0287,0.1093,0.1591,0.1278
rate,content_agnostic,xgb,0.1526,0.0024,0.5585,0.0053,0.5187,0.0058,0.0414,0.1196,0.1734,0.1278
rate,content_agnostic+ban,histgb,0.1615,0.0063,0.5783,0.0117,0.5304,0.0051,0.061,0.1731,0.1829,0.1278
rate,content_agnostic+ban,lgbm,0.1593,0.0038,0.5735,0.0075,0.5275,0.0031,0.0575,0.1412,0.1876,0.1278
rate,content_agnostic+ban,linsvc,0.1567,0.0047,0.563,0.0064,0.5287,0.0054,0.0591,0.2113,0.1742,0.1278
rate,content_agnostic+ban,logreg,0.1566,0.0044,0.5628,0.0064,0.5295,0.0054,0.0602,0.2075,0.1759,0.1278
rate,content_agnostic+ban,mlp,0.1526,0.0036,0.5541,0.0075,0.528,0.0029,0.0561,0.1789,0.1763,0.1278
rate,content_agnostic+ban,svc,0.1382,0.0048,0.5141,0.0128,0.5124,0.0039,0.0285,0.1111,0.1588,0.1278
rate,content_agnostic+ban,xgb,0.1519,0.0024,0.5598,0.0075,0.5192,0.0019,0.0424,0.1198,0.1746,0.1278
rate,content_leavetoxicout,histgb,0.2397,0.0049,0.6902,0.0076,0.5788,0.0051,0.1582,0.2431,0.2767,0.1278
rate,content_leavetoxicout,lgbm,0.238,0.0045,0.6913,0.007,0.5796,0.0051,0.1601,0.2394,0.2817,0.1278
rate,content_leavetoxicout,linsvc,0.2513,0.0077,0.6987,0.0081,0.594,0.0041,0.1896,0.3419,0.2745,0.1278
rate,content_leavetoxicout,logreg,0.2499,0.0074,0.6996,0.008,0.5916,0.0033,0.1856,0.3466,0.2693,0.1278
rate,content_leavetoxicout,mlp,0.1818,0.0033,0.606,0.0038,0.5254,0.0069,0.0646,0.1023,0.2241,0.1278
rate,content_leavetoxicout,svc,0.2049,0.0059,0.6351,0.0083,0.4959,0.0211,0.0957,0.5954,0.1781,0.1278
rate,content_leavetoxicout,xgb,0.2149,0.0061,0.6601,0.0091,0.5581,0.0054,0.1218,0.1689,0.2714,0.1278
