fold,n_test,auc_pr,auc_roc,f1_macro,kappa,model,label,agg_auc_pr,agg_auc_pr_sd,agg_auc_roc
0,12000,0.502245571011046,0.9605182110821759,0.8177445944328589,0.635562593901003,microsoft/mpnet-base,y_count,0.6385003949888208,0.0882377639809023,0.9580562970196761
1,12000,0.6069271117425571,0.960973216869213,0.8023252752025354,0.6049140615988002,microsoft/mpnet-base,y_count,0.6385003949888208,0.0882377639809023,0.9580562970196761
2,12000,0.6625555346900227,0.9600014467592594,0.8286685164121284,0.6573777980813157,microsoft/mpnet-base,y_count,0.6385003949888208,0.0882377639809023,0.9580562970196761
3,12000,0.6921196970296116,0.941895435474537,0.8161042076156845,0.6322521699406122,microsoft/mpnet-base,y_count,0.6385003949888208,0.0882377639809023,0.9580562970196761
4,12000,0.7286540604708666,0.9668931749131945,0.8469438746615013,0.6939241662859754,microsoft/mpnet-base,y_count,0.6385003949888208,0.0882377639809023,0.9580562970196761
