fold,n_test,auc_pr,auc_roc,f1_macro,kappa,model,label,agg_auc_pr,agg_auc_pr_sd,agg_auc_roc
0,12000,0.670816826895427,0.9569066478587963,0.8205836403436128,0.6411688869789428,distilbert-base-uncased,y_count,0.6855008519983863,0.022325733261205096,0.9601170066550926
1,12000,0.6742544387630733,0.952650462962963,0.8106371412909648,0.6213505502091201,distilbert-base-uncased,y_count,0.6855008519983863,0.022325733261205096,0.9601170066550926
2,12000,0.6929714316897337,0.9668666811342593,0.8183886273968561,0.6368204659661947,distilbert-base-uncased,y_count,0.6855008519983863,0.022325733261205096,0.9601170066550926
3,12000,0.6680337935970025,0.959381691261574,0.8004836368025446,0.6010476306492873,distilbert-base-uncased,y_count,0.6855008519983863,0.022325733261205096,0.9601170066550926
4,12000,0.7214277690466947,0.9647795500578704,0.8320951460838858,0.6642302421196893,distilbert-base-uncased,y_count,0.6855008519983863,0.022325733261205096,0.9601170066550926
