auc_pr,auc_roc,f1_macro,precision_pos,recall_pos,f1_pos,kappa,accuracy,baseline_ap,threshold,label,arm,model,fold,n_test
0.3231414339958693,0.880916889322929,0.6507065291956775,0.34615384615384615,0.3115942028985507,0.32796610169491525,0.30148925148043304,0.9489124570176922,0.04000057981191546,0.18812,count,content,logreg,0,124179
0.30981759109320733,0.8750583869223346,0.6422929550126346,0.3325714285714286,0.2929333601771693,0.3114964675658317,0.2846981815290208,0.9482033854628034,0.04000057981191546,0.18898,count,content,logreg,1,124178
0.32456648987156134,0.8773300989810973,0.6518599097392764,0.34517543859649125,0.316891483793034,0.3304293061824289,0.30377050664454563,0.9486301921435359,0.04000057981191546,0.18797,count,content,logreg,2,124178
0.3307553743590616,0.8831113088792352,0.6530045509250744,0.3513574153017725,0.3152808536339843,0.33234295415959253,0.30608925754203753,0.9493307993364364,0.04000057981191546,0.1877,count,content,logreg,3,124178
0.3150324177940928,0.8765258537841817,0.6463250972027904,0.3374384236453202,0.30340245621099254,0.31951659069225063,0.2927289630790997,0.9483080738939265,0.04000057981191546,0.18885,count,content,logreg,4,124178
0.3297392542141384,0.8762772434878487,0.6580800621238638,0.34092258958622057,0.3466183574879227,0.3437468809262401,0.3161620970786385,0.9470522391064512,0.04000057981191546,-0.58839,count,content,linsvc,0,124179
0.31581264838118084,0.8716440866802035,0.6502093547743684,0.34754990925589835,0.308435675458023,0.32682666666666665,0.30051626837879863,0.9491777931678719,0.04000057981191546,-0.55985,count,content,linsvc,1,124178
0.33203420579039145,0.8732340698781828,0.6588202444257375,0.3607791057990261,0.32816589490638215,0.3437005798629415,0.31770119973130095,0.9498703474045322,0.04000057981191546,-0.56134,count,content,linsvc,2,124178
0.3387173523101296,0.8808752694257003,0.6605871471819367,0.3645833333333333,0.3311858264546004,0.34708302563561555,0.32123635332598843,0.9501602538291807,0.04000057981191546,-0.56268,count,content,linsvc,3,124178
0.3202728725352106,0.8722831046788159,0.6525428801981785,0.3294627041920882,0.3370243607811556,0.33320063694267515,0.30508953195016686,0.9460451931904202,0.04000057981191546,-0.58613,count,content,linsvc,4,124178
